seed,model,calibrator,domain,oracle,brier,ece,f1_macro,recall,fpr,precision,pr_auc,roc_auc,ppv_deploy,alerts_per_hour,mean_score
101,logreg,raw,source_test,False,0.169592842609616,0.30919377700684253,0.3995603649633237,0.588151246583285,0.3192584963954686,0.9892034966739804,0.9950136985914513,0.8168754008719527,0.0036782869587886104,76904.91748998259,0.6710956897329012
101,logreg,raw,target,False,0.4046532026360823,0.4349610686253344,0.5444390841879096,0.29565144353541883,0.022658958085637254,0.9527418460584735,0.7781487071544916,0.6675367161414544,0.025481764192662737,5580.347027624084,0.17696686622439783
101,logreg,platt,source_test,False,0.023200028238146705,0.03329669667739495,0.5426064150549857,0.9952994284767663,0.937178166838311,0.9814190913731495,0.9949941420136443,0.8168751982767378,0.0021237711833887642,225401.46116911934,0.9528317468227823
101,logreg,platt,target,False,0.209464219997008,0.09574319117773929,0.4147594325947188,0.9550580977114501,0.9516218162332334,0.6079485824027706,0.7781487071518994,0.6675367161442901,0.0020072074517206886,228848.58247603764,0.6346979532348487
101,logreg,platt+prior_ORACLE,target,True,0.35902158156776637,0.37160866084735267,0.5411381545818944,0.2963261004154965,0.034058559539159705,0.9307631752515904,0.7781487071518994,0.6675367161442901,0.017137049397326534,8316.575860740451,0.24717542796776196
101,logreg,isotonic,source_test,False,0.01863548423349424,0.02233874885749018,0.5038947753618165,0.9994823159115381,0.9907312049433573,0.9804586727335514,0.9949161346681182,0.8551915620927036,0.0020176303207525407,238256.2021239183,0.9651640305450416
101,logreg,isotonic,target,False,0.2598498990710115,0.30319952728261407,0.3849354087077598,1.0,0.9933896545372339,0.6086700183305284,0.7168155855723892,0.6419698000566143,0.002013281871708546,238894.47901278385,0.8120543827396391
101,logreg,isotonic+prior_ORACLE,target,True,0.2871614420666403,0.3803600210697345,0.5439992215215297,0.2961689514233499,0.025141500745181438,0.9479206864704786,0.7168155855723892,0.6419698000566143,0.023062924425207024,6176.406167504074,0.3387212868062354
101,logreg,temperature,source_test,False,0.16972206708104912,0.3075757944023426,0.3995603649633237,0.588151246583285,0.3192584963954686,0.9892034966739804,0.9949941416833721,0.8168752196025499,0.0036782869587886104,76904.91748998259,0.6727136723374011
101,logreg,temperature,target,False,0.4070099717111247,0.43665014968574317,0.5444390841879096,0.29565144353541883,0.022658958085637254,0.9527418460584735,0.7781487071544917,0.6675367161414544,0.025481764192662737,5580.347027624084,0.17490270285348344
